Disease|Description
myositis|Myositis refers to inflammation of the muscles, leading to weakness, swelling, and pain. It can be caused by autoimmune disease, infections, or medications. Treatment involves corticosteroids, immunosuppressants, and physical therapy.
mononucleosis|Mononucleosis (mono) is a viral infection typically caused by the Epstein-Barr virus. Symptoms include fever, sore throat, swollen lymph nodes, and fatigue. Treatment involves rest, hydration, and over-the-counter pain and fever reducers.
neuralgia|Neuralgia is sharp, shocking pain that follows the path of a nerve, often in the face or neck. It may result from nerve damage or irritation. Treatment includes anticonvulsants, antidepressants, nerve blocks, or surgery in severe cases.
polycystic kidney disease|Polycystic kidney disease (PKD) is a genetic disorder where clusters of cysts form in the kidneys, leading to enlargement and loss of function. Symptoms include high blood pressure, back or side pain, blood in urine, and kidney stones. Treatment involves blood pressure control, pain management, and possibly dialysis or transplant.
bipolar disorder|Bipolar disorder is a mental health condition characterized by extreme mood swings including manic and depressive episodes. Symptoms range from high energy and reduced need for sleep to sadness and hopelessness. Treatment includes mood stabilizers, psychotherapy, and lifestyle changes.
amyloidosis|Amyloidosis is a condition where abnormal protein deposits (amyloid) accumulate in organs and tissues, impairing function. Symptoms depend on the organ affected and may include fatigue, swelling, weight loss, and neuropathy. Treatment focuses on managing symptoms and the underlying cause.
chronic inflammatory demyelinating polyneuropathy (cidp)|CIDP is a neurological disorder that causes progressive weakness and impaired sensory function in the limbs due to nerve inflammation. Symptoms include tingling, numbness, and muscle weakness. Treatment includes corticosteroids, immunoglobulin therapy, and plasma exchange.
gastroesophageal reflux disease (gerd)|GERD is a chronic digestive disorder where stomach acid flows back into the esophagus, causing irritation. Symptoms include heartburn, regurgitation, and chest pain. Treatment includes dietary changes, antacids, proton pump inhibitors, and sometimes surgery.
vitreous hemorrhage|Vitreous hemorrhage is bleeding into the vitreous humor of the eye, often due to trauma, diabetic retinopathy, or retinal tears. Symptoms include sudden vision loss, floaters, or shadows. Treatment includes monitoring, laser therapy, or vitrectomy surgery.
poisoning due to antimicrobial drugs|Poisoning due to antimicrobial drugs can occur from overdose or adverse reactions. Symptoms vary by drug but may include nausea, vomiting, confusion, and organ damage. Treatment involves stopping the drug, supportive care, and possibly administering antidotes.
open wound of the mouth|An open wound of the mouth includes cuts or lacerations on the oral mucosa. Symptoms include pain, bleeding, and risk of infection. Treatment involves cleaning the wound, applying antiseptics, pain relief, and sometimes sutures or antibiotics.
scleroderma|Scleroderma is an autoimmune disease characterized by skin thickening and hardening and can affect internal organs. Symptoms include tight skin, joint pain, and digestive issues. Treatment focuses on symptom relief using immunosuppressants, physical therapy, and supportive care.
myasthenia gravis|Myasthenia gravis is a neuromuscular disorder causing weakness in voluntary muscles, especially in the eyes, face, and throat. Symptoms include drooping eyelids, difficulty swallowing, and fatigue. Treatment includes acetylcholinesterase inhibitors, immunosuppressants, and sometimes thymectomy.
hypoglycemia|Hypoglycemia is abnormally low blood sugar, often seen in diabetics taking insulin. Symptoms include shakiness, sweating, confusion, and fainting. Treatment involves consuming quick sources of glucose and adjusting medication or meal planning.
idiopathic absence of menstruation|Idiopathic absence of menstruation (amenorrhea) is when a woman misses periods for unknown reasons. Symptoms include no menstrual bleeding and potential fertility issues. Treatment depends on hormonal evaluation and may include hormone therapy.
dislocation of the ankle|Dislocation of the ankle occurs when the bones in the ankle joint are forced out of alignment, usually due to trauma. Symptoms include pain, swelling, and inability to move the joint. Treatment includes reduction of the dislocation, immobilization, and physical therapy.
carbon monoxide poisoning|carbon monoxide poisoning occurs when carbon monoxide builds up in the bloodstream, typically due to inhaling fumes from fuel-burning appliances. symptoms include headache, dizziness, weakness, nausea, confusion, and loss of consciousness. treatment includes immediate removal from exposure and administration of 100% oxygen or hyperbaric oxygen therapy.
panic attack|panic attack is a sudden episode of intense fear or discomfort with no clear danger. symptoms include rapid heartbeat, chest pain, shortness of breath, dizziness, and fear of losing control. treatment includes breathing techniques, cognitive-behavioral therapy, and anti-anxiety medications.
plantar fasciitis|plantar fasciitis is inflammation of the tissue along the bottom of the foot that connects the heel bone to the toes. symptoms include sharp heel pain, especially in the morning or after rest. treatment includes rest, stretching exercises, orthotics, anti-inflammatory medications, and physical therapy.
hyperopia|hyperopia, or farsightedness, is a refractive error where distant objects are seen more clearly than near ones. symptoms include blurry near vision, eye strain, and headaches. treatment includes corrective lenses or refractive surgery such as LASIK.
poisoning due to sedatives|poisoning due to sedatives occurs from overdose or misuse of medications like benzodiazepines or barbiturates. symptoms include drowsiness, confusion, slowed breathing, and coma. treatment involves supportive care, activated charcoal, and flumazenil in some cases.
pemphigus|pemphigus is a rare autoimmune disorder causing painful blisters on the skin and mucous membranes. symptoms include fragile blisters, sores, and discomfort in the mouth or skin. treatment includes corticosteroids, immunosuppressants, and wound care.
peyronie disease|peyronie disease is the development of fibrous scar tissue inside the penis, causing curved, painful erections. symptoms include penile curvature, pain during erection, and erectile dysfunction. treatment includes medications, injections, and in severe cases, surgery.
hiatal hernia|hiatal hernia occurs when part of the stomach pushes up through the diaphragm. symptoms include heartburn, regurgitation, chest pain, and difficulty swallowing. treatment includes antacids, lifestyle changes, and surgery for severe cases.
extrapyramidal effect of drugs|extrapyramidal effect of drugs refers to movement disorders caused by certain medications like antipsychotics. symptoms include tremors, rigidity, restlessness, and involuntary movements. treatment includes discontinuing the offending drug and using medications like anticholinergics or benzodiazepines.
meniere disease|meniere disease is a disorder of the inner ear causing vertigo, tinnitus, hearing loss, and a feeling of fullness in the ear. treatment includes low-sodium diet, diuretics, vestibular suppressants, and in severe cases, surgery.
anal fissure|anal fissure is a small tear in the lining of the anus, often caused by passing hard stools. symptoms include pain during bowel movements, bleeding, and itching. treatment includes stool softeners, topical anesthetics, and sometimes surgery.
allergy|allergy is an immune system reaction to a foreign substance such as pollen, food, or pet dander. symptoms include sneezing, rash, itching, swelling, and in severe cases, anaphylaxis. treatment includes antihistamines, corticosteroids, avoidance, and immunotherapy.
chronic otitis media|chronic otitis media is a long-term ear infection that can cause persistent ear discharge and hearing loss. symptoms include fluid drainage, hearing difficulty, and sometimes pain. treatment includes antibiotics, ear drops, and in some cases, surgery like tympanoplasty.
fracture of the finger|fracture of the finger involves a break in one of the small bones in the finger, usually from trauma. symptoms include pain, swelling, bruising, and inability to move the finger. treatment includes splinting, pain management, and occasionally surgery.
hirschsprung disease|hirschsprung disease is a congenital condition where nerve cells are missing from parts of the colon, causing blockage. symptoms include constipation, abdominal swelling, and vomiting. treatment is surgical removal of the affected bowel segment.
polymyalgia rheumatica|polymyalgia rheumatica is an inflammatory disorder causing muscle pain and stiffness, especially in the shoulders and hips. symptoms include aching, fatigue, and stiffness in the morning. treatment includes corticosteroids and physical therapy.
lymphedema|lymphedema is swelling due to lymph fluid buildup, often after lymph node removal or damage. symptoms include persistent swelling, heaviness, and tightness in the limbs. treatment includes compression garments, massage, and exercise.
bladder cancer|bladder cancer is the growth of malignant cells in the bladder lining. symptoms include blood in urine, frequent urination, and pain during urination. treatment includes surgery, chemotherapy, immunotherapy, and radiation therapy.
acute bronchospasm|acute bronchospasm is the sudden constriction of the muscles in the walls of the bronchioles. symptoms include wheezing, shortness of breath, coughing, and chest tightness. treatment includes bronchodilators, corticosteroids, and oxygen therapy.
acute glaucoma|acute glaucoma (angle-closure) is a sudden increase in eye pressure that can lead to vision loss. symptoms include severe eye pain, blurred vision, headache, nausea, and halos around lights. treatment includes medications to reduce pressure and emergency surgery.
open wound of the chest|open wound of the chest involves a break in the skin and possibly deeper tissues due to trauma. symptoms include bleeding, pain, and visible injury. treatment includes wound cleaning, sutures, antibiotics, and in severe cases, surgery.
dislocation of the patella|dislocation of the patella occurs when the kneecap moves out of its normal position, usually laterally. symptoms include knee pain, swelling, and inability to straighten the leg. treatment includes realignment, immobilization, physical therapy, and sometimes surgery.
sciatica|sciatica is pain that radiates along the sciatic nerve, usually from a herniated disk or spinal stenosis. symptoms include lower back pain, leg pain, numbness, and weakness. treatment includes physical therapy, anti-inflammatory drugs, and sometimes surgery.
hypercalcemia|hypercalcemia is a condition with high calcium levels in the blood, often due to overactive parathyroid glands or cancer. symptoms include nausea, vomiting, confusion, abdominal pain, and muscle weakness. treatment includes IV fluids, diuretics, and medications to reduce calcium.
stress incontinence|stress incontinence is involuntary urine leakage during activities that increase abdominal pressure, like coughing or laughing. symptoms include leakage during exertion. treatment includes pelvic floor exercises, bladder training, medications, or surgical options.
varicose veins|varicose veins are enlarged, twisted veins commonly found in the legs due to weakened vein walls and valves. symptoms include visible bulging veins, aching, swelling, and heaviness in the legs. treatment includes compression stockings, leg elevation, sclerotherapy, or laser and surgical interventions.
benign kidney cyst|benign kidney cysts are non-cancerous fluid-filled sacs in the kidneys. symptoms are often absent, but large cysts can cause pain, blood in urine, or high blood pressure. treatment usually isn't needed unless symptoms appear, in which case drainage or surgery may be done.
hydrocele of the testicle|hydrocele is the accumulation of fluid around a testicle, causing swelling in the scrotum. symptoms include painless scrotal swelling and discomfort. treatment is often observation, but persistent or large hydroceles may require surgical repair.
degenerative disc disease|degenerative disc disease is age-related wear and tear of spinal discs causing back or neck pain. symptoms include pain that worsens with movement, numbness, and weakness. treatment includes physical therapy, pain relievers, steroid injections, or surgery.
hirsutism|hirsutism is excessive, male-pattern hair growth in women, often due to hormonal imbalance or polycystic ovarian syndrome. symptoms include facial and body hair growth. treatment includes hair removal techniques, hormonal therapy, and medications like anti-androgens.
dislocation of the foot|dislocation of the foot occurs when bones in the foot are forced out of alignment, usually from trauma. symptoms include severe pain, swelling, deformity, and inability to walk. treatment includes realignment, immobilization, and possibly surgery.
hydronephrosis|hydronephrosis is the swelling of a kidney due to urine buildup, often from blockage. symptoms include flank pain, nausea, urinary tract infections, and reduced urine output. treatment includes relieving the blockage with stents, drainage, or surgery.
diverticulosis|diverticulosis is the formation of small pouches in the colon wall. symptoms are usually absent, but some people experience bloating, cramps, or constipation. treatment includes high-fiber diet and hydration; complications like diverticulitis require antibiotics or surgery.
pain after an operation|pain after an operation is a common post-surgical symptom due to tissue trauma or healing. symptoms include localized pain, swelling, or tenderness. treatment includes pain medications, rest, ice, and physical therapy if necessary.
huntington disease|huntington disease is a genetic neurological disorder causing progressive brain degeneration. symptoms include involuntary movements, cognitive decline, and mood changes. treatment focuses on symptom relief with medications and supportive therapies.
lymphoma|lymphoma is a cancer of the lymphatic system. symptoms include swollen lymph nodes, fatigue, fever, weight loss, and night sweats. treatment includes chemotherapy, radiation, immunotherapy, and stem cell transplant.
dermatitis due to sun exposure|dermatitis due to sun exposure is skin inflammation caused by excessive UV radiation. symptoms include redness, itching, blistering, and peeling. treatment includes avoiding sun, using moisturizers, topical steroids, and sunscreen.
anemia due to chronic kidney disease|anemia in chronic kidney disease is caused by reduced erythropoietin production. symptoms include fatigue, pallor, and shortness of breath. treatment includes iron supplements, erythropoiesis-stimulating agents, and treating the underlying kidney disease.
injury to internal organ|injury to internal organs can result from blunt or penetrating trauma. symptoms depend on the organ but may include pain, bleeding, shock, and organ dysfunction. treatment requires imaging, monitoring, and sometimes emergency surgery.
scleritis|scleritis is inflammation of the white part of the eye (sclera), often linked to autoimmune conditions. symptoms include eye redness, severe pain, and blurred vision. treatment includes corticosteroids and immunosuppressants.
pterygium|pterygium is a benign growth on the conjunctiva that can extend onto the cornea. symptoms include redness, irritation, and visual disturbance. treatment includes lubricating eye drops and surgical removal if vision is affected.
fungal infection of the skin|fungal infections of the skin include conditions like athlete’s foot and ringworm. symptoms include red, scaly, itchy patches. treatment includes topical or oral antifungal medications and hygiene measures.
insulin overdose|insulin overdose leads to hypoglycemia. symptoms include sweating, confusion, shakiness, and unconsciousness. treatment includes consuming sugar, glucagon injection, and emergency medical care if severe.
syndrome of inappropriate secretion of adh (siadh)|siadh is excessive release of antidiuretic hormone, leading to water retention and low sodium. symptoms include headache, confusion, seizures, and nausea. treatment includes fluid restriction, salt tablets, and medications like demeclocycline.
foreign body in the ear|a foreign body in the ear can cause discomfort, hearing loss, or infection. symptoms include pain, discharge, and hearing difficulty. treatment includes careful removal using tools or irrigation by a healthcare provider.
premenstrual tension syndrome|premenstrual tension syndrome (PMS) includes emotional and physical symptoms before menstruation. symptoms include mood swings, bloating, breast tenderness, and fatigue. treatment includes lifestyle changes, pain relievers, hormonal therapy, and antidepressants.
orbital cellulitis|orbital cellulitis is a serious infection of the tissues around the eye. symptoms include eyelid swelling, redness, pain, and vision problems. treatment includes intravenous antibiotics and sometimes surgery.
injury to the leg|injury to the leg can include sprains, fractures, or muscle tears. symptoms include pain, swelling, bruising, and impaired movement. treatment includes rest, ice, compression, elevation, and possibly surgery.
hepatic encephalopathy|hepatic encephalopathy is brain dysfunction due to liver failure and toxin buildup. symptoms include confusion, lethargy, and coma. treatment includes lactulose, rifaximin, and treating the underlying liver disease.
bone cancer|bone cancer is a malignant tumor in bone tissue. symptoms include bone pain, swelling, and fractures. treatment includes surgery, chemotherapy, radiation, and targeted therapy.
syringomyelia|syringomyelia is a disorder in which a cyst or cavity forms within the spinal cord. symptoms include muscle weakness, stiffness, pain, and loss of sensitivity, especially in the arms and hands. treatment may involve surgical drainage or decompression to relieve pressure on the spinal cord.
pulmonary fibrosis|pulmonary fibrosis is a condition where lung tissue becomes scarred, leading to progressive breathing difficulty. symptoms include shortness of breath, chronic dry cough, fatigue, and weight loss. treatment includes antifibrotic medications, oxygen therapy, pulmonary rehabilitation, and lung transplant in advanced cases.
mitral valve disease|mitral valve disease involves damage to the mitral valve of the heart, causing regurgitation or stenosis. symptoms include fatigue, breathlessness, palpitations, and swelling in legs. treatment includes medications like diuretics or beta-blockers and surgical repair or replacement of the valve.
parkinson disease|parkinson disease is a neurodegenerative disorder affecting movement. symptoms include tremors, stiffness, slowness of movement, and balance issues. treatment involves medications like levodopa, physical therapy, and in some cases, deep brain stimulation.
gout|gout is a form of arthritis caused by uric acid crystal buildup in joints. symptoms include sudden, severe joint pain, redness, and swelling, often in the big toe. treatment includes anti-inflammatory drugs, urate-lowering medications, and lifestyle changes like reducing alcohol and purine-rich foods.
otitis media|otitis media is a middle ear infection common in children. symptoms include ear pain, fever, irritability, and temporary hearing loss. treatment includes pain relievers, antibiotics if bacterial, and sometimes ear tubes for recurrent cases.
drug abuse (opioids)|drug abuse (opioids) involves misuse of prescription or illegal opioids. symptoms include euphoria, sedation, respiratory depression, and dependence. treatment includes medication-assisted therapy (methadone, buprenorphine), counseling, and support groups.
myelodysplastic syndrome|myelodysplastic syndrome is a group of disorders where blood-forming cells in the bone marrow are dysfunctional. symptoms include fatigue, infections, and easy bruising or bleeding. treatment includes blood transfusions, growth factors, chemotherapy, or bone marrow transplant.
fracture of the shoulder|fracture of the shoulder typically results from trauma. symptoms include severe shoulder pain, swelling, bruising, and limited mobility. treatment involves immobilization with a sling, pain management, physical therapy, and possibly surgery for complex fractures.
acute kidney injury|acute kidney injury is a sudden decline in kidney function. symptoms include reduced urine output, swelling, fatigue, confusion, and fluid retention. treatment involves addressing the underlying cause, fluid management, and sometimes dialysis.
threatened pregnancy|threatened pregnancy refers to vaginal bleeding during early pregnancy with a closed cervix and viable fetus. symptoms include abdominal pain and bleeding. treatment includes rest, monitoring, and avoiding strenuous activity; medical evaluation is crucial.
intracranial abscess|intracranial abscess is a pus-filled infection in the brain. symptoms include headache, fever, neurological deficits, and seizures. treatment includes antibiotics and often surgical drainage of the abscess.
gum disease|gum disease, or periodontal disease, is an infection of the tissues supporting teeth. symptoms include swollen, bleeding gums, bad breath, and tooth loss. treatment includes professional cleaning, improved oral hygiene, and sometimes surgery.
open wound from surgical incision|an open wound from surgical incision may result from dehiscence or poor healing. symptoms include visible wound separation, pain, and discharge. treatment includes wound cleaning, dressing changes, antibiotics, and surgical intervention if needed.
gastrointestinal hemorrhage|gastrointestinal hemorrhage refers to bleeding in the digestive tract. symptoms include vomiting blood, black or bloody stools, and weakness. treatment includes endoscopy, medications to stop bleeding, blood transfusions, and surgery if severe.
seborrheic dermatitis|seborrheic dermatitis is a chronic skin condition causing red, flaky, itchy patches, especially on the scalp. symptoms include dandruff, greasy scaling, and inflammation. treatment includes medicated shampoos, topical antifungals, and corticosteroids.
drug abuse (methamphetamine)|drug abuse (methamphetamine) involves misuse of a powerful stimulant. symptoms include euphoria, increased energy, weight loss, aggression, and addiction. treatment includes behavioral therapy, detox programs, and long-term support.
torticollis|torticollis is a condition where the neck muscles contract, causing the head to twist to one side. symptoms include limited neck movement and pain. treatment includes stretching, physical therapy, medications, and sometimes surgery.
poisoning due to antihypertensives|poisoning due to antihypertensives can cause dangerously low blood pressure, dizziness, fainting, and organ dysfunction. treatment includes activated charcoal, IV fluids, vasopressors, and close monitoring.
tension headache|tension headache is a common type of headache caused by muscle tension. symptoms include dull, aching head pain, tightness around the forehead, and neck stiffness. treatment includes pain relievers, stress management, massage, and posture correction.
alcohol intoxication|alcohol intoxication results from excessive alcohol consumption. symptoms include slurred speech, confusion, nausea, vomiting, and impaired coordination. treatment includes supportive care, hydration, and in severe cases, airway management and hospitalization.
scurvy|scurvy is caused by a deficiency of vitamin c. symptoms include fatigue, swollen gums, joint pain, and bruising. treatment involves vitamin c supplementation and dietary changes.
narcolepsy|narcolepsy is a chronic sleep disorder causing overwhelming daytime drowsiness. symptoms include sudden sleep attacks, cataplexy, hallucinations, and sleep paralysis. treatment includes stimulants, antidepressants, and lifestyle modifications.
food allergy|food allergy is an immune reaction to specific foods. symptoms range from hives and swelling to anaphylaxis. treatment includes avoiding allergens, antihistamines, and carrying an epinephrine auto-injector.
labyrinthitis|labyrinthitis is inflammation of the inner ear causing vertigo and imbalance. symptoms include dizziness, nausea, hearing loss, and ringing in the ears. treatment includes vestibular suppressants, anti-nausea medication, and rest.
anxiety|Anxiety is a common mental health condition characterized by excessive worry, fear, or nervousness that can interfere with daily activities. It may present with symptoms such as restlessness, rapid heartbeat, difficulty concentrating, and sleep problems. While occasional anxiety is a normal stress response, chronic or intense anxiety may indicate an anxiety disorder. Treatment often includes therapy, medication, lifestyle changes, and stress management techniques.
impulse control disorder|Impulse Control Disorder is a group of psychiatric conditions where individuals struggle to resist urges or impulses that may be harmful to themselves or others. This includes behaviors like compulsive stealing (kleptomania), hair-pulling (trichotillomania), or sudden aggressive outbursts. People often feel tension before the act and relief afterward, but may experience guilt later. Treatment typically involves psychotherapy, behavioral therapy, and sometimes medication.
stenosis of the tear duct|Stenosis of the Tear Duct, also called nasolacrimal duct obstruction, is a narrowing or blockage of the duct that drains tears from the eye into the nose. This condition can lead to excessive tearing, recurrent eye infections, and inflammation. It may be present at birth (congenital) or develop later due to infection, injury, or aging. Treatment can include warm compresses, massage, antibiotics, or surgical procedures like dacryocystorhinostomy to restore drainage.
abscess of nose|A nasal abscess is a collection of pus inside or around the nose, often resulting from infection, trauma, or an untreated pimple or boil. It can cause swelling, redness, pain, and sometimes fever. If left untreated, it can spread and lead to serious complications. Treatment usually includes drainage and antibiotics.
omphalitis|Omphalitis is an infection of the umbilical stump in newborns, often occurring within the first few days of life. It presents with redness, swelling, foul odor, and discharge around the navel. It's considered a medical emergency as the infection can spread quickly. Prompt treatment with antibiotics is essential.
leukemia|Leukemia is a type of cancer affecting the blood and bone marrow, characterized by the overproduction of abnormal white blood cells. Symptoms may include fatigue, frequent infections, easy bruising or bleeding, and weight loss. Treatment depends on the type (e.g., ALL, AML, CLL, CML) and may involve chemotherapy, radiation, targeted therapy, or stem cell transplant.
bell palsy|Bell’s palsy is a sudden, temporary weakness or paralysis of the facial muscles, typically on one side of the face. It is believed to result from inflammation of the facial nerve, often triggered by a viral infection. Symptoms include drooping of one side of the face, difficulty closing the eye, and impaired facial expressions. Most people recover fully with or without treatment.
conjunctivitis due to allergy|Allergic conjunctivitis is an inflammation of the conjunctiva (the thin membrane covering the eye) caused by allergens like pollen, dust, or pet dander. It leads to redness, itching, tearing, and swelling in both eyes. It is not contagious and is managed with antihistamines, avoiding allergens, and lubricating eye drops.
drug reaction|A drug reaction (also called adverse drug reaction or drug hypersensitivity) is an unwanted or harmful response to a medication. Reactions can range from mild (such as rashes, nausea, or drowsiness) to severe (such as anaphylaxis, Stevens-Johnson syndrome, or organ damage). These reactions may be allergic, toxic, or idiosyncratic. Management includes discontinuing the offending drug and providing appropriate supportive or emergency care.
adrenal cancer|Adrenal cancer is a rare but aggressive cancer that forms in the adrenal glands, located above the kidneys. It may cause excess hormone production, leading to symptoms such as weight gain, high blood pressure, muscle weakness, or hormonal imbalances (e.g., Cushing’s syndrome). Some tumors are non-functioning and discovered incidentally. Treatment typically involves surgery, with possible chemotherapy or radiation in advanced cases.
myopia|Myopia, or nearsightedness, is a common refractive error where close objects appear clear, but distant objects are blurry. It occurs when the eyeball is too long or the cornea is too curved, causing light rays to focus in front of the retina. Myopia often develops during childhood and progresses over time. It can be corrected with glasses, contact lenses, or refractive surgery.
osteoarthritis|Osteoarthritis is the most common form of arthritis, characterized by the breakdown of cartilage in joints. This leads to pain, stiffness, swelling, and reduced motion, commonly affecting the knees, hips, hands, and spine. It is a degenerative disease associated with aging, joint injury, or obesity. Treatment includes physical therapy, medications, and in some cases, joint replacement surgery.
thyroid disease|Thyroid disease encompasses various disorders that affect the thyroid gland, such as hypothyroidism (underactive thyroid), hyperthyroidism (overactive thyroid), thyroid nodules, and thyroid cancer. Symptoms vary based on the condition but may include weight changes, fatigue, temperature sensitivity, or mood changes. Treatment depends on the specific diagnosis and may involve medications, surgery, or radioactive iodine therapy.
pharyngitis|Pharyngitis is inflammation of the pharynx, commonly referred to as a sore throat. It can be caused by viral infections (like the common cold or flu) or bacterial infections (such as strep throat). Symptoms include throat pain, difficulty swallowing, and swollen lymph nodes. Most cases are mild and resolve on their own, but bacterial cases may require antibiotics.
chronic rheumatic fever|Chronic rheumatic fever is a long-term complication of rheumatic fever, an inflammatory disease that can develop after a Group A streptococcal throat infection. It primarily affects the heart, particularly the valves, and may lead to rheumatic heart disease. Other complications can involve the joints, skin, and brain. Management includes antibiotics to prevent recurrence and medications to manage heart issues.
hypocalcemia|Hypocalcemia is a condition marked by low levels of calcium in the blood. It can result from vitamin D deficiency, kidney disease, or parathyroid dysfunction. Symptoms may include muscle cramps, tingling in the fingers, fatigue, and in severe cases, cardiac arrhythmias or seizures. Treatment involves calcium and vitamin D supplementation and addressing the underlying cause.
macular degeneration|Macular degeneration, specifically age-related macular degeneration (AMD), is a common eye disorder among people over 50. It affects the macula, the central part of the retina, leading to blurred or loss of central vision. There are two types: dry (more common, slower progression) and wet (less common, faster and more severe). While it can’t be cured, treatments like anti-VEGF injections and vision aids can help manage symptoms.
pneumonia|Pneumonia is a lung infection caused by bacteria, viruses, or fungi. It leads to inflammation of the air sacs, which may fill with fluid or pus, causing cough, fever, chest pain, and difficulty breathing. Severity ranges from mild to life-threatening, especially in the elderly or those with weakened immunity. Treatment depends on the cause and may include antibiotics, antivirals, or supportive care like oxygen therapy
cold sore|Cold sores, also known as fever blisters, are painful, fluid-filled lesions that typically appear around the lips or mouth. They are caused by the herpes simplex virus type 1 (HSV-1). The infection is contagious and can be triggered by stress, illness, or sun exposure. While there’s no cure, antiviral medications can help reduce the severity and frequency of outbreaks.
premature ventricular contractions (pvcs)|PVCs are extra heartbeats that originate in the ventricles and disrupt the regular heart rhythm. They are common and often harmless, especially in healthy individuals. Symptoms can include palpitations, a fluttering feeling, or skipped beats. However, frequent PVCs may be linked to heart disease and should be evaluated if they cause significant symptoms or occur often.
testicular cancer|Testicular cancer originates in the testicles and is most common in younger men (ages 15–35). It often presents as a painless lump or swelling in the testicle. While relatively rare, it is one of the most treatable forms of cancer, especially when detected early. Treatment typically involves surgery and may include chemotherapy or radiation.
hydrocephalus|Hydrocephalus is the buildup of cerebrospinal fluid (CSF) in the brain’s ventricles, leading to increased pressure. It can be congenital or acquired (due to injury, infection, or tumor). Symptoms include an unusually large head in infants, headaches, nausea, balance problems, and cognitive issues. Treatment involves surgical placement of a shunt or endoscopic third ventriculostomy (ETV) to drain excess fluid.
breast cancer|Breast cancer develops in breast tissue, most often in the ducts or lobules. It is one of the most common cancers in women, but it can also affect men. Signs include a breast lump, changes in shape or skin, or nipple discharge. Early detection via mammograms significantly improves outcomes. Treatment may include surgery, radiation, chemotherapy, hormone therapy, or targeted drugs
anemia due to malignancy|Anemia due to malignancy occurs when cancer or its treatment disrupts red blood cell production or increases destruction. It can result from bone marrow involvement, bleeding, nutritional deficiencies, or chemotherapy side effects. Symptoms include fatigue, weakness, and shortness of breath. Management focuses on treating the underlying cancer and may involve blood transfusions or erythropoiesis-stimulating agents.
esophageal varices|Esophageal varices are swollen veins in the lower esophagus, often due to increased pressure from liver cirrhosis (portal hypertension). They pose a serious risk of rupture and bleeding, which is a medical emergency. Symptoms of bleeding varices include vomiting blood, black stools, and shock. Treatment includes medications, endoscopic banding, and procedures to reduce portal pressure.
endometrial cancer|Endometrial cancer arises from the lining of the uterus (endometrium) and is the most common gynecologic cancer. It usually affects postmenopausal women and often presents with abnormal vaginal bleeding. Risk factors include obesity, hormonal imbalances, and age. Treatment involves surgery (hysterectomy), possibly followed by radiation or chemotherapy depending on the stage.
cystic fibrosis|Cystic fibrosis (CF) is a genetic disorder that affects the lungs and digestive system by causing thick, sticky mucus buildup. It leads to chronic lung infections and poor nutrient absorption. Common symptoms include persistent cough, frequent lung infections, and failure to gain weight. There is no cure, but treatments like airway clearance, enzyme supplements, and CFTR modulators improve quality of life.
intertrigo (skin condition)|Intertrigo is a skin condition caused by inflammation in warm, moist body folds (like under the breasts, groin, or armpits). It often appears as red, raw, itchy rashes and may become secondarily infected with bacteria or yeast. It’s common in people who are overweight or sweat excessively. Treatment involves keeping the area dry, using antifungal or antibacterial creams, and improving hygiene.
parathyroid adenoma|A parathyroid adenoma is a benign tumor of a parathyroid gland, causing overproduction of parathyroid hormone (PTH). This leads to primary hyperparathyroidism, resulting in high calcium levels (hypercalcemia). Symptoms include fatigue, kidney stones, bone pain, and abdominal discomfort. Treatment typically involves surgical removal of the adenoma.
glucocorticoid deficiency|Glucocorticoid deficiency, often due to adrenal insufficiency or Addison’s disease, results in inadequate cortisol production. Symptoms include fatigue, low blood pressure, weight loss, and skin darkening. It can be life-threatening if not treated. Diagnosis involves hormone testing, and treatment includes lifelong hormone replacement with hydrocortisone or similar steroids.
temporomandibular joint disorder|TMJ disorder affects the joint that connects the jawbone to the skull, leading to pain in the jaw and surrounding muscles. Symptoms include jaw pain, clicking or popping sounds, difficulty chewing, and headaches. Causes range from arthritis and jaw injury to stress-related teeth grinding. Treatment includes physical therapy, medications, bite guards, and sometimes surgery.
wilson disease|Wilson disease is a rare inherited disorder that causes copper to accumulate in the liver, brain, and other organs. Symptoms include liver disease, neurological issues (tremors, difficulty speaking), and psychiatric problems. It usually appears in childhood or early adulthood. Treatment includes lifelong use of medications like chelators to remove excess copper and dietary modifications.
vesicoureteral reflux|VUR is a condition where urine flows backward from the bladder into the ureters or kidneys. It is most common in infants and children and can lead to recurrent urinary tract infections (UTIs) and kidney damage. Diagnosis is often made with imaging tests. Mild cases may resolve with age, while severe cases might need surgery or long-term antibiotics.
vitamin a deficiency|Vitamin A deficiency impairs vision, especially night vision, and increases the risk of infections. It is common in developing countries and can lead to xerophthalmia (dry eyes), poor immune function, and skin issues. In severe cases, it may cause blindness. Treatment involves dietary changes and vitamin A supplementation.
gonorrhea|Gonorrhea is a sexually transmitted infection (STI) caused by Neisseria gonorrhoeae. It affects the genital tract, rectum, and throat. Common symptoms include painful urination, abnormal discharge, and pelvic pain, although many cases are asymptomatic. Untreated gonorrhea can lead to infertility and systemic complications. It is treated with antibiotics.
fracture of the rib|A rib fracture is a break or crack in one of the rib bones, often caused by trauma such as a fall or car accident. Symptoms include sharp chest pain that worsens with breathing, coughing, or movement. Most rib fractures heal on their own with rest and pain control, but severe cases may require hospitalization to monitor for complications like lung injury.
